team,team_code,fifa_rank,elo_rating,analyst_attack_adjustment,analyst_defense_adjustment,analyst_total_goals_adjustment,notes,source,source_checked_at
Mexico,MEX,,,,,,,,
South Africa,RSA,,,,,,,,
South Korea,KOR,,,,,,,,
Czechia,CZE,,,,,,,,
Canada,CAN,,,,,,,,
Switzerland,SUI,,,,,,,,
Qatar,QAT,,,,,,,,
Bosnia and Herzegovina,BIH,,,,,,,,
Brazil,BRA,,,,,,,,
Morocco,MAR,,,,,,,,
Haiti,HAI,,,,,,,,
Scotland,SCO,,,,,,,,
United States,USA,,,,,,,,
Paraguay,PAR,,,,,,,,
Australia,AUS,,,,,,,,
Turkiye,TUR,,,,,,,,
Germany,GER,,,,,,,,
Curacao,CUW,,,,,,,,
Ivory Coast,CIV,,,,,,,,
Ecuador,ECU,,,,,,,,
Netherlands,NED,,,,,,,,
Japan,JPN,,,,,,,,
Sweden,SWE,,,,,,,,
Tunisia,TUN,,,,,,,,
Belgium,BEL,,,,,,,,
Egypt,EGY,,,,,,,,
Iran,IRN,,,,,,,,
New Zealand,NZL,,,,,,,,
Spain,ESP,,,,,,,,
Cape Verde,CPV,,,,,,,,
Saudi Arabia,KSA,,,,,,,,
Uruguay,URU,,,,,,,,
France,FRA,,,,,,,,
Senegal,SEN,,,,,,,,
Norway,NOR,,,,,,,,
Iraq,IRQ,,,,,,,,
Argentina,ARG,,,,,,,,
Algeria,ALG,,,,,,,,
Austria,AUT,,,,,,,,
Jordan,JOR,,,,,,,,
Portugal,POR,,,,,,,,
DR Congo,COD,,,,,,,,
Uzbekistan,UZB,,,,,,,,
Colombia,COL,,,,,,,,
England,ENG,,,,,,,,
Croatia,CRO,,,,,,,,
Ghana,GHA,,,,,,,,
Panama,PAN,,,,,,,,
