group_type,group_value,candidates,positive_settlements,non_loss_settlements,positive_rate,non_loss_rate,net_units,roi_per_unit_stake
all,all,64,30,34,0.4688,0.5312,-2.0600,-0.0322
market_type,asian_handicap,32,15,17,0.4688,0.5312,-0.6900,-0.0216
market_type,total,32,15,17,0.4688,0.5312,-1.3700,-0.0428
strategy_subtier,A,3,3,3,1.0000,1.0000,2.4300,0.8100
strategy_subtier,C,45,24,27,0.5333,0.6000,4.2100,0.0936
strategy_subtier,C-underdog-risk,16,3,4,0.1875,0.2500,-8.7000,-0.5437
strategy_tier,A,3,3,3,1.0000,1.0000,2.4300,0.8100
strategy_tier,C,61,27,31,0.4426,0.5082,-4.4900,-0.0736
subtier_market,A|asian_handicap,1,1,1,1.0000,1.0000,0.4800,0.4800
subtier_market,A|total,2,2,2,1.0000,1.0000,1.9500,0.9750
subtier_market,C-underdog-risk|asian_handicap,16,3,4,0.1875,0.2500,-8.7000,-0.5437
subtier_market,C|asian_handicap,15,11,12,0.7333,0.8000,7.5300,0.5020
subtier_market,C|total,30,13,15,0.4333,0.5000,-3.3200,-0.1107
tier_market,A|asian_handicap,1,1,1,1.0000,1.0000,0.4800,0.4800
tier_market,A|total,2,2,2,1.0000,1.0000,1.9500,0.9750
tier_market,C|asian_handicap,31,14,16,0.4516,0.5161,-1.1700,-0.0377
tier_market,C|total,30,13,15,0.4333,0.5000,-3.3200,-0.1107
